"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Naquin, Tyler","571980","CLE","114","RF","29","L","0.00","0.57","0.89","1.16","1.40","1.63","1.85","2.05","2.25","2.45","2.64","2.83","3.01","3.19","3.37","3.55","3.74","3.93","4.13"
"Naylor, Josh","647304","CLE","114","LF","23","L","0.00","0.56","0.88","1.15","1.40","1.62","1.83","2.03","2.22","2.41","2.59","2.76","2.95","3.12","3.30","3.48","3.65","3.83","4.02"
"Newman, Kevin","621028","PIT","134","SS","26","R","0.00","0.56","0.89","1.15","1.39","1.62","1.83","2.03","2.23","2.42","2.61","2.80","2.98","3.16","3.34","3.51","3.69","3.87","4.04"
"Nimmo, Brandon","607043","NYM","121","CF","27","L","0.00","0.55","0.86","1.12","1.35","1.58","1.78","1.98","2.17","2.36","2.54","2.72","2.90","3.08","3.25","3.43","3.60","3.79","3.96"
"Nola, Austin","543592","SD","135","C","30","R","0.00","0.57","0.91","1.20","1.45","1.69","1.92","2.13","2.33","2.53","2.73","2.92","3.11","3.30","3.48","3.66","3.85","4.03","4.23"
"Núñez, Renato","600524","BAL","110","1B","26","R","0.00","0.59","0.93","1.21","1.47","1.70","1.92","2.13","2.34","2.54","2.74","2.93","3.12","3.31","3.50","3.68","3.87","4.06","4.25"
"O'Neill, Tyler","641933","STL","138","LF","25","R","0.00","0.55","0.86","1.12","1.35","1.56","1.76","1.95","2.14","2.32","2.50","2.67","2.85","3.02","3.18","3.35","3.52","3.68","3.85"
"Ozuna, Marcell","542303","ATL","144","DH","29","R","0.00","0.58","0.93","1.22","1.48","1.71","1.93","2.14","2.34","2.53","2.72","2.91","3.10","3.27","3.45","3.62","3.80","3.98","4.16"
"Peralta, David","444482","AZ","109","LF","32","L","0.00","0.55","0.87","1.15","1.39","1.61","1.83","2.03","2.23","2.42","2.61","2.79","2.97","3.15","3.33","3.51","3.69","3.87","4.07"
"Peraza, José","606299","BOS","111","2B","26","R","0.00","0.56","0.88","1.14","1.38","1.60","1.81","2.01","2.20","2.39","2.57","2.75","2.94","3.11","3.28","3.45","3.62","3.80","3.97"
"Pham, Tommy","502054","SD","135","LF","32","R","0.00","0.55","0.88","1.15","1.39","1.61","1.82","2.02","2.21","2.39","2.57","2.76","2.93","3.11","3.28","3.45","3.63","3.80","3.99"
"Pillar, Kevin","607680","COL","115","CF","31","R","0.00","0.58","0.91","1.19","1.44","1.67","1.89","2.09","2.28","2.47","2.65","2.83","3.01","3.19","3.37","3.54","3.71","3.89","4.06"
"Polanco, Jorge","593871","MIN","142","SS","26","L","0.00","0.58","0.90","1.17","1.41","1.63","1.84","2.04","2.23","2.42","2.60","2.78","2.96","3.13","3.31","3.48","3.65","3.83","4.01"
"Pollock, AJ","572041","LAD","119","LF","32","R","0.00","0.56","0.88","1.15","1.38","1.61","1.81","2.01","2.20","2.39","2.58","2.76","2.94","3.11","3.29","3.46","3.64","3.81","4.00"
"Realmuto, J.T.","592663","PHI","143","C","29","R","0.00","0.57","0.89","1.16","1.40","1.62","1.83","2.04","2.23","2.42","2.60","2.79","2.96","3.14","3.32","3.49","3.66","3.84","4.02"
"Reddick, Josh","502210","HOU","117","RF","33","L","0.00","0.57","0.91","1.19","1.45","1.68","1.90","2.11","2.31","2.51","2.71","2.91","3.10","3.28","3.47","3.66","3.85","4.04","4.24"
"Rendon, Anthony","543685","LAA","108","3B","30","R","0.00","0.56","0.90","1.18","1.43","1.67","1.89","2.09","2.30","2.49","2.69","2.88","3.06","3.25","3.43","3.61","3.79","3.98","4.18"
"Reyes, Franmil","614177","CLE","114","DH","24","R","0.00","0.58","0.93","1.21","1.47","1.71","1.94","2.15","2.35","2.55","2.74","2.93","3.12","3.31","3.49","3.68","3.87","4.06","4.25"
"Reyes, Victor","622682","DET","116","CF","25","L","0.00","0.55","0.86","1.13","1.36","1.58","1.79","1.98","2.17","2.36","2.54","2.72","2.89","3.07","3.24","3.41","3.58","3.76","3.95"
"Riley, Austin","663586","ATL","144","3B","23","R","0.00","0.56","0.89","1.17","1.42","1.65","1.88","2.09","2.29","2.49","2.68","2.86","3.05","3.24","3.42","3.60","3.79","3.97","4.16"
