order	player	team	pp	pp_pct	estimate_pct	range_low_pct	range_high_pct	band	recommendation	strength	confidence	gap	physical_coverage	peak_z	accel_z	accel_conf	end_z	end_conf	S_z	game_z	community_z	peak_share	reason_code	supporting_lanes
61	太田 光	東北楽天ゴールデンイーグルス	44	0.1008	0.265	0.005	0.705	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.1642	0.328	-0.8879	0	0	0	0	-0.3327	-0.5935149211322244	0	0.8343714282417511	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
62	村林 一輝	東北楽天ゴールデンイーグルス	69	0.6227	0.965	0.795	0.985	ELITE	POWERPRO_TOO_LOW	SUPPORTED_DIRECTIONAL	MEDIUM	0.34229999999999994	0.4273221594404618	2.3059	-1.2526256961708133	0.024782115433464647	-1.2526256961708135	0.06629174936807469	0.2155	0.1853918365257688	0	0.9299089772819421	POWERPRO_BELOW_INTEGRATED_EVIDENCE_INTERVAL	peak_speed,S_context,game_context
63	浅村 栄斗	東北楽天ゴールデンイーグルス	35	0.0207	0.105	0.005	0.555	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.0843	0.4	-0.8879	0	0	0	0	-0.6301	-0.8982304759592908	0	0.7189208363467128	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
64	渡邊 佳明	東北楽天ゴールデンイーグルス	50	0.1809	0.205	0.005	0.695	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.024099999999999983	0.328	-1.0475	0	0	0	0	-0.3715	-0.5493761262204286	0	0.8943180312279013	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
65	鈴木 大地	東北楽天ゴールデンイーグルス	49	0.1705	0.055	0.005	0.415	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.11550000000000002	0.328	-2.0855	0	0	0	0	-0.2356	-0.17010541870707993	0	0.9676188855815399	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,S_context
66	京田 陽太	横浜DeNAベイスターズ	78	0.8036	0.395	0.045	0.815	AVERAGE	POWERPRO_TOO_HIGH_OR_STALE	PEAK_LED_CONCERN_ONLY	LOW	-0.40859999999999996	0.3553221594404618	-0.4088	0.19271164556474088	0.024782115433464647	0.19271164556474088	0.06629174936807469	0.0192	0.1153543955409309	0	0.920334992575759	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
67	佐野 恵太	横浜DeNAベイスターズ	48	0.1499	0.175	0.005	0.605	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.025099999999999983	0.4	-0.808	0	0	0	0	-0.5174	-0.3959186996186648	0	0.7845711641990857	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
68	宮﨑 敏郎	横浜DeNAベイスターズ	33	0.0129	0.145	0.005	0.565	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.1321	0.4	-1.0475	0	0	0	0	-0.3563	-0.15507125344485767	0	0.8962984283301836	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
69	山本 祐大	横浜DeNAベイスターズ	61	0.3721	0.355	0.015	0.795	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.017100000000000004	0.328	-0.4886	0	0	0	0	-0.1078	-0.050282106763384196	0	0.9150684815914237	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed
70	度会 隆輝	横浜DeNAベイスターズ	65	0.509	0.595	0.145	0.855	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.08599999999999997	0.4	0.0703	0	0	0	0	0.1642	0.2901311128116866	0	0.42817869426633093	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	game_context
