player,team,mine,stat,npbDerived,npbUsed,pp,rawDiff,scalePart,scaleAdj,conflictRaw,conflictResid,conflictVerdict,stale,causes,games,pa,years,ageNow,nChg,lastChangeYear,directT90,shortD,exposure
土田 龍空,中日ドラゴンズ,62.8,63.7,62.50673512119306,31.2,66,-3.200000000000003,-4.158513781272532,0.9585137812725293,-1.1932648788069429,-15.611885129733844,PARTIALLY_EXPLAINED,NO_STALE_EVIDENCE,PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK,38,43,2,,2,2022,0,0,SOURCE_PA_25_49
大島 洋平,中日ドラゴンズ,64.5,58.7,66.32783147240988,31.7,74,-9.5,-5.303727687784232,-4.196272312215768,7.627831472409881,-6.790788778517021,,NO_STALE_EVIDENCE,MODEL_SCALE|CURRENT_EVIDENCE_WEAK,21,66,3,,4,2024,0,0,SOURCE_PA_50_99
岡林 勇希,中日ドラゴンズ,70.9,66,72.44158563435681,32.5,81,-10.099999999999994,-9.615121218181244,-0.4848787818187503,6.441585634356812,-7.977034616570089,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,54,235,4,,1,2022,0,0,SOURCE_PA_200_399
木下 拓哉,中日ドラゴンズ,46.9,40.9,48.75078825681243,29.4,39,7.899999999999999,6.552604520807542,1.347395479192457,7.850788256812429,-6.5678319941144725,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK,21,63,4,,1,2021,0,0,SOURCE_PA_50_99
村松 開人,中日ドラゴンズ,74.2,57.9,79.3195590665471,33.4,80,-5.799999999999997,-11.8381835072922,6.038183507292203,21.4195590665471,7.0009388156202,,NO_STALE_EVIDENCE,MODEL_SCALE,99,413,3,,1,2025,0,0,SOURCE_PA_400_PLUS
板山 祐太郎,中日ドラゴンズ,66,57.7,68.62048928313999,32,72,-6,-6.314210546471031,0.3142105464710312,10.920489283139986,-3.4981309677869152,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,67,182,2,,0,,0,0,SOURCE_PA_100_199
田中 幹也,中日ドラゴンズ,75.6,61,80.08377833679049,33.5,83,-7.400000000000006,-12.781300842066543,5.381300842066537,19.083778336790488,4.665158085863586,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,73,247,2,,0,,0,0,SOURCE_PA_200_399
石川 昂弥,中日ドラゴンズ,54.1,41.9,57.92141949973288,30.6,41,13.100000000000001,1.702286799110901,11.3977132008891,16.02141949973288,1.6027992488059777,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD,64,236,3,,1,2023,0,0,SOURCE_PA_200_399
福永 裕基,中日ドラゴンズ,73.1,62.9,76.26268198557366,33,64,9.099999999999994,-11.097162744255215,20.19716274425521,13.362681985573666,-1.0559382653532356,,POWERPRO_STALE_SUPPORTED,MODEL_SCALE|POWERPRO_STALE_OR_ODD,73,256,2,,0,,0,0,SOURCE_PA_200_399
細川 成也,中日ドラゴンズ,66.8,43.9,73.97002417484359,32.7,60,6.799999999999997,-6.8531347377706595,13.653134737770657,30.07002417484359,15.651403923916687,PARTIALLY_EXPLAINED,POWERPRO_STALE_SUPPORTED,MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD,102,429,3,,0,,0,0,SOURCE_PA_400_PLUS
